Unnamed: 0,日付,売上合計(円),ペールエール(本),ペールエール(円),ラガー(本),ラガー(円),IPA(本),IPA(円),ホワイトビール(本),ホワイトビール(円),黒ビール(本),黒ビール(円),フルーツビール(本),フルーツビール(円),降水量,平均気温,平均湿度,平均風速,weekday_土,weekday_月,weekday_木,weekday_水,weekday_火,weekday_金,total_beers_sold,天気
0,2024-04-01,25300,6,6000,5,4000,5,4500,4,3600,6,7200,0,0,3.0,14.6,73,2.8,False,True,False,False,False,False,26,晴後薄曇
1,2024-04-02,24600,6,6000,4,3200,5,4500,3,2700,6,7200,1,1000,0.0,14.2,50,3.0,False,False,False,False,True,False,25,雨時々曇
2,2024-04-03,18500,5,5000,4,3200,3,2700,2,1800,4,4800,1,1000,11.5,13.9,83,1.6,False,False,False,True,False,False,19,曇一時雨
3,2024-04-04,9500,2,2000,2,1600,2,1800,1,900,1,1200,2,2000,4.0,15.4,79,2.0,False,False,True,False,False,False,10,曇時々雨
4,2024-04-05,17100,3,3000,5,4000,3,2700,2,1800,3,3600,2,2000,0.5,11.4,71,2.8,False,False,False,False,False,True,18,曇
5,2024-04-06,34900,11,11000,8,6400,6,5400,3,2700,7,8400,1,1000,0.0,12.7,81,1.8,True,False,False,False,False,False,36,薄曇時々晴一時雨
6,2024-04-08,8600,2,2000,2,1600,1,900,1,900,1,1200,2,2000,0.0,18.8,85,2.0,False,True,False,False,False,False,9,大雨一時曇
7,2024-04-09,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,55.5,15.6,78,4.4,False,False,False,False,True,False,5,晴
8,2024-04-10,14700,3,3000,3,2400,2,1800,1,900,3,3600,3,3000,0.0,11.7,47,3.2,False,False,False,True,False,False,15,晴後薄曇
9,2024-04-11,18100,6,6000,4,3200,3,2700,2,1800,2,2400,2,2000,0.0,14.0,62,2.5,False,False,True,False,False,False,19,曇一時雨
10,2024-04-12,28400,7,7000,5,4000,6,5400,6,5400,3,3600,3,3000,2.5,15.0,73,2.3,False,False,False,False,False,True,30,薄曇時々晴
11,2024-04-13,31400,8,8000,8,6400,6,5400,4,3600,5,6000,2,2000,0.0,16.4,68,2.3,True,False,False,False,False,False,33,快晴
12,2024-04-15,32400,10,10000,6,4800,6,5400,6,5400,4,4800,2,2000,0.0,19.4,65,2.8,False,True,False,False,False,False,34,晴一時曇
13,2024-04-16,20600,6,6000,5,4000,5,4500,3,2700,2,2400,1,1000,0.0,19.2,66,5.3,False,False,False,False,True,False,22,晴時々曇
14,2024-04-17,24800,6,6000,6,4800,4,3600,4,3600,4,4800,2,2000,0.0,20.1,70,3.0,False,False,False,True,False,False,26,曇後一時雨
15,2024-04-18,6800,2,2000,1,800,1,900,1,900,1,1200,1,1000,1.5,17.9,67,2.7,False,False,True,False,False,False,7,晴一時薄曇
16,2024-04-19,32000,9,9000,9,7200,6,5400,4,3600,4,4800,2,2000,0.0,18.3,46,5.6,False,False,False,False,False,True,34,曇
17,2024-04-20,26000,8,8000,5,4000,5,4500,3,2700,4,4800,2,2000,0.0,19.4,48,2.5,True,False,False,False,False,False,27,曇後一時雨
18,2024-04-22,21600,6,6000,6,4800,3,2700,5,4500,3,3600,0,0,7.0,15.6,89,2.2,False,True,False,False,False,False,23,曇
19,2024-04-23,31100,7,7000,8,6400,6,5400,5,4500,4,4800,3,3000,0.0,16.9,82,2.1,False,False,False,False,True,False,33,雨
20,2024-04-24,8600,2,2000,2,1600,1,900,1,900,1,1200,2,2000,20.5,15.0,94,2.1,False,False,False,True,False,False,9,晴一時曇
21,2024-04-25,25700,7,7000,6,4800,3,2700,4,3600,3,3600,4,4000,0.5,19.5,78,2.2,False,False,True,False,False,False,27,曇
22,2024-04-26,31900,10,10000,7,5600,4,3600,5,4500,6,7200,1,1000,0.0,20.3,72,2.4,False,False,False,False,False,True,33,雨後曇
23,2024-04-27,18000,6,6000,4,3200,3,2700,3,2700,2,2400,1,1000,0.0,19.5,84,1.9,True,False,False,False,False,False,19,晴後一時薄曇
24,2024-04-29,13400,2,2000,3,2400,2,1800,2,1800,2,2400,3,3000,0.0,21.2,80,3.7,False,True,False,False,False,False,14,曇一時雨
25,2024-04-30,19500,6,6000,3,2400,3,2700,2,1800,3,3600,3,3000,2.5,20.9,84,2.4,False,False,False,False,True,False,20,
26,2024-05-01,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,26.5,16.5,92,3.0,False,False,False,True,False,False,5,晴時々曇
27,2024-05-02,23300,6,6000,7,5600,4,3600,5,4500,3,3600,0,0,3.0,15.3,70,2.9,False,False,True,False,False,False,25,快晴
28,2024-05-03,42700,9,9000,12,9600,6,5400,7,6300,7,8400,4,4000,0.0,17.7,63,2.6,False,False,False,False,False,True,45,快晴
29,2024-05-04,25500,8,8000,7,5600,4,3600,3,2700,3,3600,2,2000,0.0,20.9,57,2.4,True,False,False,False,False,False,27,晴
30,2024-05-06,16900,5,5000,4,3200,4,3600,3,2700,2,2400,0,0,0.0,20.9,68,5.7,False,True,False,False,False,False,18,雨後時々曇
31,2024-05-07,19700,5,5000,5,4000,4,3600,3,2700,2,2400,2,2000,5.0,20.0,88,4.1,False,False,False,False,True,False,21,曇後時々雨
32,2024-05-08,19100,5,5000,4,3200,3,2700,4,3600,3,3600,1,1000,8.0,17.8,83,2.8,False,False,False,True,False,False,20,雨時々曇後晴
33,2024-05-09,14400,3,3000,3,2400,2,1800,2,1800,2,2400,3,3000,1.5,13.7,70,2.5,False,False,True,False,False,False,15,晴
34,2024-05-10,44500,10,10000,10,8000,8,7200,7,6300,5,6000,7,7000,0.0,17.5,50,3.5,False,False,False,False,False,True,47,晴
35,2024-05-11,21500,4,4000,6,4800,4,3600,3,2700,2,2400,4,4000,0.0,20.3,61,5.4,True,False,False,False,False,False,23,曇
36,2024-05-13,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,58.5,19.3,96,3.8,False,True,False,False,False,False,5,曇後晴
37,2024-05-14,26900,7,7000,5,4000,4,3600,5,4500,4,4800,3,3000,0.0,16.9,71,2.6,False,False,False,False,True,False,28,薄曇
38,2024-05-15,9500,4,4000,2,1600,2,1800,1,900,1,1200,0,0,1.5,19.4,76,2.7,False,False,False,True,False,False,10,晴時々曇一時雨
